Time_Foco,Data_Jogo,Mando,Adversario,Placar,Total_Gols,Bateu_Over_1_5
Leverkusen,2026-01-17,Fora,Hoffenheim,1 x 0,1,Não
Leverkusen,2026-01-10,Casa,Stuttgart,1 x 4,5,Sim
Leverkusen,2025-12-20,Fora,RB Leipzig,1 x 3,4,Sim
Leverkusen,2025-12-13,Casa,FC Koln,2 x 0,2,Sim
Leverkusen,2025-12-06,Fora,Augsburg,2 x 0,2,Sim
Leverkusen,2025-11-29,Casa,Dortmund,1 x 2,3,Sim
Leverkusen,2025-11-22,Fora,Wolfsburg,1 x 3,4,Sim
Leverkusen,2025-11-08,Casa,Heidenheim,6 x 0,6,Sim
Leverkusen,2025-11-01,Fora,Bayern Munich,3 x 0,3,Sim
Leverkusen,2025-10-26,Casa,Freiburg,2 x 0,2,Sim
Wolfsburg,2026-01-17,Casa,Heidenheim,1 x 1,2,Sim
Wolfsburg,2026-01-14,Casa,St Pauli,2 x 1,3,Sim
Wolfsburg,2026-01-11,Fora,Bayern Munich,8 x 1,9,Sim
Wolfsburg,2025-12-20,Casa,Freiburg,3 x 4,7,Sim
Wolfsburg,2025-12-13,Fora,M'gladbach,1 x 3,4,Sim
Wolfsburg,2025-12-06,Casa,Union Berlin,3 x 1,4,Sim
Wolfsburg,2025-11-30,Fora,Ein Frankfurt,1 x 1,2,Sim
Wolfsburg,2025-11-22,Casa,Leverkusen,1 x 3,4,Sim
Wolfsburg,2025-11-07,Fora,Werder Bremen,2 x 1,3,Sim
Wolfsburg,2025-11-02,Casa,Hoffenheim,2 x 3,5,Sim
M'gladbach,2026-01-17,Fora,Hamburg,0 x 0,0,Não
M'gladbach,2026-01-14,Fora,Hoffenheim,5 x 1,6,Sim
M'gladbach,2026-01-11,Casa,Augsburg,4 x 0,4,Sim
M'gladbach,2025-12-19,Fora,Dortmund,2 x 0,2,Sim
M'gladbach,2025-12-13,Casa,Wolfsburg,1 x 3,4,Sim
M'gladbach,2025-12-05,Fora,Mainz,0 x 1,1,Não
M'gladbach,2025-11-28,Casa,RB Leipzig,0 x 0,0,Não
M'gladbach,2025-11-22,Fora,Heidenheim,0 x 3,3,Sim
M'gladbach,2025-11-08,Casa,FC Koln,3 x 1,4,Sim
M'gladbach,2025-11-01,Fora,St Pauli,0 x 4,4,Sim
Heidenheim,2026-01-17,Fora,Wolfsburg,1 x 1,2,Sim
Heidenheim,2026-01-13,Fora,Mainz,2 x 1,3,Sim
Heidenheim,2026-01-10,Casa,FC Koln,2 x 2,4,Sim
Heidenheim,2025-12-21,Casa,Bayern Munich,0 x 4,4,Sim
Heidenheim,2025-12-13,Fora,St Pauli,2 x 1,3,Sim
Heidenheim,2025-12-06,Casa,Freiburg,2 x 1,3,Sim
Heidenheim,2025-11-29,Fora,Union Berlin,1 x 2,3,Sim
Heidenheim,2025-11-22,Casa,M'gladbach,0 x 3,3,Sim
Heidenheim,2025-11-08,Fora,Leverkusen,6 x 0,6,Sim
Heidenheim,2025-11-01,Casa,Ein Frankfurt,1 x 1,2,Sim
Hamburg,2026-01-17,Casa,M'gladbach,0 x 0,0,Não
Hamburg,2026-01-10,Fora,Freiburg,2 x 1,3,Sim
Hamburg,2025-12-20,Casa,Ein Frankfurt,1 x 1,2,Sim
Hamburg,2025-12-13,Fora,Hoffenheim,4 x 1,5,Sim
Hamburg,2025-12-07,Casa,Werder Bremen,3 x 2,5,Sim
Hamburg,2025-11-30,Casa,Stuttgart,2 x 1,3,Sim
Hamburg,2025-11-22,Fora,Augsburg,1 x 0,1,Não
Hamburg,2025-11-08,Casa,Dortmund,1 x 1,2,Sim
Hamburg,2025-11-02,Fora,FC Koln,4 x 1,5,Sim
Hamburg,2025-10-25,Casa,Wolfsburg,0 x 1,1,Não
Augsburg,2026-01-18,Casa,Freiburg,2 x 2,4,Sim
Augsburg,2026-01-15,Casa,Union Berlin,1 x 1,2,Sim
Augsburg,2026-01-11,Fora,M'gladbach,4 x 0,4,Sim
Augsburg,2025-12-20,Casa,Werder Bremen,0 x 0,0,Não
Augsburg,2025-12-13,Fora,Ein Frankfurt,1 x 0,1,Não
Augsburg,2025-12-06,Casa,Leverkusen,2 x 0,2,Sim
Augsburg,2025-11-29,Fora,Hoffenheim,3 x 0,3,Sim
Augsburg,2025-11-22,Casa,Hamburg,1 x 0,1,Não
Augsburg,2025-11-09,Fora,Stuttgart,3 x 2,5,Sim
Augsburg,2025-10-31,Casa,Dortmund,0 x 1,1,Não
Freiburg,2026-01-18,Fora,Augsburg,2 x 2,4,Sim
Freiburg,2026-01-14,Fora,RB Leipzig,2 x 0,2,Sim
Freiburg,2026-01-10,Casa,Hamburg,2 x 1,3,Sim
Freiburg,2025-12-20,Fora,Wolfsburg,3 x 4,7,Sim
Freiburg,2025-12-14,Casa,Dortmund,1 x 1,2,Sim
Freiburg,2025-12-06,Fora,Heidenheim,2 x 1,3,Sim
Freiburg,2025-11-30,Casa,Mainz,4 x 0,4,Sim
Freiburg,2025-11-22,Fora,Bayern Munich,6 x 2,8,Sim
Freiburg,2025-11-09,Casa,St Pauli,2 x 1,3,Sim
Freiburg,2025-11-01,Fora,Union Berlin,0 x 0,0,Não
Bayern Munich,2026-01-17,Fora,RB Leipzig,1 x 5,6,Sim
Bayern Munich,2026-01-14,Fora,FC Koln,1 x 3,4,Sim
Bayern Munich,2026-01-11,Casa,Wolfsburg,8 x 1,9,Sim
Bayern Munich,2025-12-21,Fora,Heidenheim,0 x 4,4,Sim
Bayern Munich,2025-12-14,Casa,Mainz,2 x 2,4,Sim
Bayern Munich,2025-12-06,Fora,Stuttgart,0 x 5,5,Sim
Bayern Munich,2025-11-29,Casa,St Pauli,3 x 1,4,Sim
Bayern Munich,2025-11-22,Casa,Freiburg,6 x 2,8,Sim
Bayern Munich,2025-11-08,Fora,Union Berlin,2 x 2,4,Sim
Bayern Munich,2025-11-01,Casa,Leverkusen,3 x 0,3,Sim
Hoffenheim,2026-01-17,Casa,Leverkusen,1 x 0,1,Não
Hoffenheim,2026-01-14,Casa,M'gladbach,5 x 1,6,Sim
Hoffenheim,2025-12-20,Fora,Stuttgart,0 x 0,0,Não
Hoffenheim,2025-12-13,Casa,Hamburg,4 x 1,5,Sim
Hoffenheim,2025-12-07,Fora,Dortmund,2 x 0,2,Sim
